"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",45,2.07813797154674,2.28456169921768,2.83265150443063,3.26514118029646,3.74296663875364,4.5154736421689,4.87282756205853
"2",45.1,2.08512942767364,2.2925043796769,2.84306546746532,3.27744385102494,3.75729038565147,4.53291939010615,4.89165794937452
"3",45.2,2.0921693458221,2.3005002035515,2.85354342682515,3.28981759009483,3.77169164183318,4.55045037593417,4.91057615426729
"4",45.3,2.09925837022038,2.3085498273851,2.86408604233961,3.3022630356429,3.78617100225861,4.5680670926372,4.92958261225437
"5",45.4,2.10639715320332,2.31665391541728,2.87469398007861,3.3147808306596,3.800729065079,4.58577003358991,4.94867775794513
"6",45.5,2.11358635531032,2.32481313966778,2.88536791239989,3.32737162300892,3.81536643162931,4.60355969251215,4.96786202498115
"7",45.6,2.12082664538432,2.33302818002155,2.89610851799664,3.34003606544818,3.83008370642007,4.62143656342297,4.98713584597586
"8",45.7,2.12811870067241,2.341299724315,2.90691648194575,3.35277481564817,3.84488149712959,4.63940114059525,5.00649965245487
"9",45.8,2.13546320692729,2.34962846842291,2.91779249575617,3.36558853621306,3.8597604145955,4.65745391850935,5.02595387479531
"10",45.9,2.14286085851008,2.35801511634639,2.92873725741761,3.37847789470038,3.87472107280643,4.67559539180685,5.04549894216541
"11",46,2.1503123584945,2.36646038030189,2.93975147144989,3.39144356364128,3.88976408889366,4.69382605524443,5.0651352824642
"12",46.1,2.15781841877199,2.37496498081085,2.95083584895203,3.40448622056038,3.90489008312209,4.71214640364679,5.08486332226036
"13",46.2,2.16537976015825,2.38352964679046,2.96199110765216,3.41760654799596,3.92009967888155,4.73055693185999,5.10468348673154
"14",46.3,2.17299711250114,2.39215511564554,2.97321797195776,3.4308052335203,3.935393502678,4.74905813470482,5.12459619960385
"15",46.4,2.18067121478949,2.40084213336094,2.98451717300577,3.44408296975961,3.9507721841242,4.76765050692935,5.14460188309058
"16",46.5,2.18840281526341,2.40959145459513,2.99588944871346,3.45744045441432,3.96623635593051,4.78633454316192,5.16470095783138
"17",46.6,2.19619267152579,2.41840384277473,3.00733554382943,3.47087839027937,3.98178665389562,4.80511073786391,5.18489384283149
"18",46.7,2.20404155065514,2.42728007019001,3.01885620998507,3.48439748526457,3.99742371689723,4.82397958528268,5.20518095540113
"19",46.8,2.21195022931931,2.43622091809095,3.0304522057459,3.49799845241456,4.01314818688205,4.84294157940366,5.22556271109417
"20",46.9,2.21991949389109,2.44522717678483,3.04212429666395,3.51168200992961,4.02896070885669,4.86199721390373,5.24603952364829
"21",47,2.22795014056448,2.45429964573422,3.05387325532965,3.52544888118564,4.04486193087756,4.88114698210338,5.26661180492395
"22",47.1,2.23604297547243,2.46343913365603,3.06569986142446,3.5392997947546,4.06085250404101,4.90039137691944,5.2872799648441
"23",47.2,2.24419881480608,2.47264645862183,3.07760490177394,3.55323548442524,4.07693308247382,4.9197308908183,5.30804441133467
"24",47.3,2.25241848493487,2.48192244815851,3.08958917040062,3.56725668922325,4.09310432332291,4.93916601576836,5.32890555026422
"25",47.4,2.26070282252792,2.49126793935009,3.10165346857731,3.58136415343167,4.10936688674523,4.95869724319283,5.34986378538422
"26",47.5,2.26905267467715,2.5006837789408,3.11379860488121,3.59555862661183,4.1257214358982,4.97832506392351,5.37091951827059
"27",47.6,2.27746889902101,2.51017082343835,3.12602539524744,3.60984086362351,4.14216863692915,4.99804996815348,5.39207314826409
"28",47.7,2.28595236386972,2.51972993921856,3.13833466302329,3.6242116246455,4.15870915896526,5.01787244539058,5.41332507241191
"29",47.8,2.294503948332,2.52936200263091,3.15072723902299,3.6386716751966,4.1753436741038,5.03779298441162,5.43467568541011
"30",47.9,2.30312454244251,2.53906790010457,3.16320396158205,3.65322178615583,4.19207285740152,5.05781207321573,5.45612537954537
"31",48,2.31181504729088,2.54884852825563,3.17576567661231,3.6678627337832,4.20889738686472,5.0779301989788,5.47767454463808
"32",48.1,2.32057637515191,2.55870479399512,3.18841323765723,3.68259529974055,4.22581794343922,5.09814784800817,5.49932356798599
"33",48.2,2.32940944961693,2.56863761463781,3.2011475059473,3.69742027111229,4.24283521100028,5.11846550569754,5.52107283430817
"34",48.3,2.33831520572612,2.57864791801166,3.21396935045534,3.71233844042575,4.25994987634218,5.13888365648172,5.54292272568913
"35",48.4,2.3472945901026,2.58873664256857,3.22687964795278,3.72735060567254,4.27716262916884,5.1594027837931,5.56487362152499
"36",48.5,2.35634856108706,2.59890473749545,3.2398792830654,3.74245757032901,4.29447416208344,5.18002337001725,5.5869258984689
"37",48.6,2.3654780888739,2.60915316282624,3.25296914832956,3.7576601433771,4.31188517057865,5.20074589644962,5.60907993037792
"38",48.7,2.3746841556485,2.61948288955481,3.26615014424872,3.77295913932536,4.32939635302705,5.22157084325283,5.6313360882608
"39",48.8,2.38396775572542,2.62989489974841,3.27942317934979,3.78835537822967,4.34700841067115,5.24249868941408,5.65369474022609
"40",48.9,2.39332989568805,2.64039018666209,3.29278917024011,3.80384968571439,4.36472204761425,5.26352991270378,5.67615625143187
"41",49,2.40277159452906,2.65096975485368,3.30624904166417,3.81944289299321,4.38253797081081,5.2846649896343,5.69872098403586
"42",49.1,2.41229388379194,2.66163462029937,3.31980372656048,3.83513583689001,4.40045689005708,5.30590439541928,5.72138929714641
"43",49.2,2.42189780771397,2.67238581051037,3.33345416611908,3.85092935986022,4.4184795179824,5.3272486039345,5.74416154677547
"44",49.3,2.43158442336968,2.68322436464971,3.34720130983836,3.86682431001153,4.43660657003985,5.34869808767836,5.76703808579133
"45",49.4,2.44135480081573,2.69415133365003,3.36104611558262,3.88282154112513,4.45483876449779,5.37025331773392,5.79001926387357
"46",49.5,2.45121002323669,2.70516778033193,3.37498954963949,3.89892191267686,4.4731768224313,5.39191476373164,5.81310542746876
"47",49.6,2.46115118709168,2.71627477952276,3.38903258677731,3.91512628985825,4.49162146771384,5.41368289381271,5.83629691974739
"48",49.7,2.47117940226204,2.72747341817613,3.40317621030279,3.93143554359773,4.51017342700927,5.43555817459362,5.85959408056225
