"","Age","Mu","Sigma","Lambda","Sex"
"1",0,47.3561763787451,0.0918803318083531,-1.72224082210298,"Male"
"2",0.01,49.0056329063285,0.0893520470255635,-1.65959429152851,"Male"
"3",0.02,49.9359174789763,0.0879632640243369,-1.62511478191094,"Male"
"4",0.03,50.703511089713,0.0868378456136285,-1.59718341696684,"Male"
"5",0.04,51.3797583981255,0.0858618868383887,-1.57299688058177,"Male"
"6",0.05,51.9941252274642,0.0849879844078505,-1.55139041470656,"Male"
"7",0.06,52.5623986937946,0.0841905701557377,-1.53173675571609,"Male"
"8",0.07,53.0942799986175,0.0834538344753959,-1.51364865092408,"Male"
"9",0.08,53.5962686259568,0.0827671227771363,-1.49686552859053,"Male"
"10",0.09,54.0729878452958,0.0821228130857273,-1.48120127839703,"Male"
"11",0.1,54.5278746867108,0.0815152079701009,-1.46651700344459,"Male"
"12",0.11,54.9635724611176,0.080939902398284,-1.45270548383221,"Male"
"13",0.12,55.382169514638,0.080393398190574,-1.43968170600561,"Male"
"14",0.13,55.7853522640412,0.0798728562487605,-1.42737677971583,"Male"
"15",0.14,56.1745075175097,0.079375930473974,-1.41573386271945,"Male"
"16",0.15,56.5507933082252,0.0789006525078781,-1.40470533411909,"Male"
"17",0.16,56.9151893820145,0.0784453493805539,-1.39425077584453,"Male"
"18",0.17,57.2685340882084,0.0780085831926729,-1.38433549504991,"Male"
"19",0.18,57.6115519188937,0.0775891059817226,-1.37492941911348,"Male"
"20",0.19,57.9448744542703,0.0771858253149437,-1.36600625375539,"Male"
"21",0.2,58.2690565563955,0.0767977776264619,-1.35754283103771,"Male"
"22",0.21,58.5845890726025,0.0764241072534321,-1.3495185970427,"Male"
"23",0.22,58.8919089310319,0.0760640497380914,-1.34191520406171,"Male"
"24",0.23,59.1914200627783,0.0757168935988194,-1.33471068552884,"Male"
"25",0.24,59.4835397409226,0.0753818933709919,-1.32786212857799,"Male"
"26",0.25,59.7686598364003,0.0750583474107127,-1.32132440802225,"Male"
"27",0.26,60.0471367255791,0.0747456184014075,-1.31505625843572,"Male"
"28",0.27,60.3192957642143,0.0744431252757505,-1.30901980473197,"Male"
"29",0.28,60.585435051862,0.0741503364114496,-1.3031801653572,"Male"
"30",0.29,60.8458286205475,0.0738667638619417,-1.2975051146934,"Male"
"31",0.3,61.1007291526235,0.0735919584343483,-1.29196479407294,"Male"
"32",0.31,61.3503703107599,0.0733255054662016,-1.28653146299711,"Male"
"33",0.32,61.5949687461856,0.073067021182427,-1.28117928383157,"Male"
"34",0.33,61.8347258383148,0.0728161495372473,-1.27588413455505,"Male"
"35",0.34,62.0698292087681,0.0725725594637527,-1.27062344515491,"Male"
"36",0.35,62.3004540448467,0.0723359424681042,-1.26537605406669,"Male"
"37",0.36,62.5267642612211,0.0721060105166011,-1.2601220816913,"Male"
"38",0.37,62.7489135235753,0.0718824941728497,-1.25484281853406,"Male"
"39",0.38,62.9670461539175,0.0716651409494866,-1.24952062592001,"Male"
"40",0.39,63.1812979339973,0.07145371384479,-1.24413884757362,"Male"
"41",0.4,63.3917968206385,0.0712479900392369,-1.23868173062154,"Male"
"42",0.41,63.5986635846063,0.0710477597309987,-1.23313435480082,"Male"
"43",0.42,63.8020123828648,0.0708528250925494,-1.22748256883777,"Male"
"44",0.43,64.0019512725959,0.0706629993332266,-1.22171293311542,"Male"
"45",0.44,64.198582674129,0.0704781058547926,-1.21581266787408,"Male"
"46",0.45,64.3920037889132,0.0702979774888784,-1.20976960629562,"Male"
"47",0.46,64.5823069778049,0.0701224558067438,-1.20357215191105,"Male"
"48",0.47,64.7695801042273,0.0699513904930799,-1.19720923984627,"Male"
"49",0.48,64.9539068461369,0.0697846387767041,-1.19067030148511,"Male"
"50",0.49,65.1353669802427,0.069622064911889,-1.18394523218152,"Male"
"51",0.5,65.3140366414481,0.0694635397049164,-1.17702436170096,"Male"
"52",0.51,65.4899885601467,0.0693089400810729,-1.16989842710875,"Male"
"53",0.52,65.6632922796472,0.0691581486879416,-1.16255854785883,"Male"
"54",0.53,65.834014355761,0.0690110535312884,-1.15499620286399,"Male"
"55",0.54,66.0022185403091,0.0688675476403357,-1.14720320935591,"Male"
"56",0.55,66.1679659501339,0.0687275287595383,-1.13917170336362,"Male"
"57",0.56,66.3313152229994,0.0685908990643338,-1.13089412165902,"Male"
"58",0.57,66.4923226616118,0.0684575648986189,-1.12236318503489,"Male"
"59",0.58,66.6510423668688,0.0683274365319312,-1.11357188279448,"Male"
"60",0.59,66.8075263613059,0.0682004279345634,-1.10451345834585,"Male"
"61",0.6,66.9618247036213,0.0680764565690029,-1.09518139580427,"Male"
"62",0.61,67.1139855950675,0.0679554431962541,-1.08556940751604,"Male"
"63",0.62,67.2640554784002,0.0678373116957815,-1.07567142242674,"Male"
"64",0.63,67.4120791300319,0.06772198889789,-1.06548157522309,"Male"
"65",0.64,67.5580997459442,0.0676094044275261,-1.05499419618604,"Male"
"66",0.65,67.7021590218883,0.0674994905585368,-1.04420380169722,"Male"
"67",0.66,67.8442972283188,0.0673921820775636,-1.03310508534799,"Male"
"68",0.67,67.9845532804994,0.0672874161567759,-1.02169290960322,"Male"
"69",0.68,68.1229648041461,0.0671851322347706,-1.00996229797814,"Male"
"70",0.69,68.2595681969614,0.067085271904989,-0.997908427688897,"Male"
"71",0.7,68.3943986863696,0.0669877788110879,-0.985526622741992,"Male"
"72",0.71,68.5274903837402,0.0668925985487335,-0.972812347430147,"Male"
"73",0.72,68.6588763353628,0.0667996785733399,-0.95976120020521,"Male"
"74",0.73,68.7885885704043,0.0667089681133259,-0.946368907901537,"Male"
"75",0.74,68.9166581460707,0.0666204180884835,-0.932631320284958,"Male"
"76",0.75,69.0431151901752,0.0665339810330911,-0.918544404904662,"Male"
"77",0.76,69.1679889412877,0.0664496110234457,-0.904104242227579,"Male"
"78",0.77,69.2913084935889,0.0663672621161435,-0.88930787452324,"Male"
"79",0.78,69.4131112522938,0.0662868705285946,-0.874163466315504,"Male"
"80",0.79,69.5334399373888,0.0662083610770792,-0.858686642064059,"Male"
"81",0.8,69.6523362262697,0.0661316606366858,-0.84289276847637,"Male"
"82",0.81,69.7698406671113,0.0660566983202711,-0.826796809592918,"Male"
"83",0.82,69.8859927233937,0.0659834053806744,-0.810413342326845,"Male"
