"","Age","Mu","Sigma","Lambda","Sex"
"1",0,2.62741598577682,0.313592249039901,-0.97666321508392,"Male"
"2",0.01,3.14380819951994,0.29287935290222,-0.774251410966628,"Male"
"3",0.02,3.40937022582175,0.28289127968933,-0.671665435428828,"Male"
"4",0.03,3.62336787182934,0.275151662713223,-0.589763925766932,"Male"
"5",0.04,3.80906581016655,0.268650820068662,-0.519262060153432,"Male"
"6",0.05,3.97587128241265,0.262976717658984,-0.456396597665377,"Male"
"7",0.06,4.12875388111059,0.257910082057075,-0.399175609494017,"Male"
"8",0.07,4.27073512370534,0.253316754668519,-0.346385883400579,"Male"
"9",0.08,4.40382220646327,0.249107122353405,-0.297220193023449,"Male"
"10",0.09,4.52943292091067,0.245217577478727,-0.251107503292462,"Male"
"11",0.1,4.64861504982687,0.241600908323044,-0.207625216134019,"Male"
"12",0.11,4.7621703188813,0.238220850572375,-0.166449547451535,"Male"
"13",0.12,4.87072933822211,0.235048782098024,-0.127325499365295,"Male"
"14",0.13,4.97479938227104,0.232061608996529,-0.0900477002194399,"Male"
"15",0.14,5.07479618308414,0.229240354683217,-0.0544476453877786,"Male"
"16",0.15,5.17106609370366,0.226569183774708,-0.0203848061326113,"Male"
"17",0.16,5.26391206181013,0.224034674517686,0.0122633886315544,"Male"
"18",0.17,5.35360691054097,0.221625307576173,0.0436068141777514,"Male"
"19",0.18,5.44038684504235,0.219331136489046,0.0737406474401177,"Male"
"20",0.19,5.52445731152489,0.217143501225515,0.102747748394367,"Male"
"21",0.2,5.60599841800593,0.215054803898306,0.130700823935935,"Male"
"22",0.21,5.68516917657878,0.213058332902542,0.15766412223986,"Male"
"23",0.22,5.76211086724896,0.211148123210268,0.183694776981301,"Male"
"24",0.23,5.83694973683931,0.209318844076794,0.208843886400325,"Male"
"25",0.24,5.90979918756431,0.207565707818645,0.233157388770891,"Male"
"26",0.25,5.98076156899208,0.205884394992926,0.25667677957452,"Male"
"27",0.26,6.04992965824473,0.204270992488832,0.27943970419092,"Male"
"28",0.27,6.11738789257235,0.202721941890283,0.301480451674025,"Male"
"29",0.28,6.18321340336076,0.201233996087003,0.322830369176675,"Male"
"30",0.29,6.24747688950723,0.199804182567814,0.343518212158958,"Male"
"31",0.3,6.31024335979763,0.198429772171309,0.363570442204669,"Male"
"32",0.31,6.37157276764429,0.197108252327008,0.383011481772607,"Male"
"33",0.32,6.43152055676198,0.195837304017214,0.401863933300834,"Male"
"34",0.33,6.49013813267245,0.19461478184177,0.420148768612557,"Male"
"35",0.34,6.54747327206214,0.193438696686144,0.437885493429529,"Male"
"36",0.35,6.60357047977403,0.192307200586176,0.455092290901924,"Male"
"37",0.36,6.65847130143745,0.191218573456108,0.471786147356315,"Male"
"38",0.37,6.71221459833005,0.190171211405086,0.487982962898846,"Male"
"39",0.38,6.76483678993316,0.18916361641419,0.503697649059035,"Male"
"40",0.39,6.81637206872918,0.188194387183925,0.518944215295088,"Male"
"41",0.4,6.86685259104934,0.187262210992893,0.533735845885351,"Male"
"42",0.41,6.91630864717556,0.186365856433506,0.548084968488911,"Male"
"43",0.42,6.96476881340312,0.185504166911226,0.562003315460199,"Male"
"44",0.43,7.012260088363,0.184676054810933,0.575501978838076,"Male"
"45",0.44,7.05880801556075,0.183880496248071,0.588591459795371,"Male"
"46",0.45,7.10443679381027,0.183116526334193,0.601281713219642,"Male"
"47",0.46,7.14916937699909,0.182383234896206,0.613582188003743,"Male"
"48",0.47,7.19302756442745,0.181679762597093,0.625501863543229,"Male"
"49",0.48,7.2360320827941,0.181005297412842,0.637049282871244,"Male"
"50",0.49,7.27820266075907,0.180359071426235,0.648232582804958,"Male"
"51",0.5,7.31955809689381,0.179740357903257,0.65905952142897,"Male"
"52",0.51,7.36011632172686,0.179148468622204,0.669537503199445,"Male"
"53",0.52,7.39989445450379,0.178582751429235,0.679673601918222,"Male"
"54",0.53,7.4389088552054,0.178042587997337,0.689474581795051,"Male"
