"","Age","Mu","Sigma","Lambda","Sex"
"1",0,12.8249511236142,0.212580463037015,-0.181807179033099,"Male"
"2",0.01,14.0289157523729,0.20852050724855,0.0455279853436673,"Male"
"3",0.02,14.4081454237229,0.206822208773748,0.11938653603107,"Male"
"4",0.03,14.6788049736712,0.205345854595898,0.174088801260303,"Male"
"5",0.04,14.8942594756442,0.203941041542919,0.219587272263098,"Male"
"6",0.05,15.0746797930038,0.202561505118583,0.259520885971264,"Male"
"7",0.06,15.2302692204153,0.201188322452748,0.295679920631256,"Male"
"8",0.07,15.3670355319882,0.199812726955141,0.329092549893537,"Male"
"9",0.08,15.4888703817585,0.198430556983106,0.360408775860737,"Male"
"10",0.09,15.5985095745585,0.19704577969221,0.390017122739341,"Male"
"11",0.1,15.6980022019736,0.195670186731443,0.418119357159779,"Male"
"12",0.11,15.7888879452417,0.194312184101311,0.444868065726589,"Male"
"13",0.12,15.872353519067,0.192977249303168,0.470387871265423,"Male"
"14",0.13,15.9493360585845,0.191668942681996,0.494782452357808,"Male"
"15",0.14,16.0205906559382,0.190389535757292,0.518139397924085,"Male"
"16",0.15,16.0867361354904,0.18914041567324,0.540533671289617,"Male"
"17",0.16,16.1482870540794,0.18792235324918,0.562030147990973,"Male"
"18",0.17,16.2056766682699,0.186735684998749,0.582685517274306,"Male"
"19",0.18,16.2592737966713,0.185580439270482,0.602549734774429,"Male"
"20",0.19,16.3093954471622,0.18445642517088,0.621667151293513,"Male"
"21",0.2,16.356316438396,0.183363296155623,0.640077403095784,"Male"
"22",0.21,16.4002768447862,0.182300596050839,0.657816123474461,"Male"
"23",0.22,16.4414878370181,0.181267792685869,0.674915518248894,"Male"
"24",0.23,16.4801363207449,0.180264302664287,0.691404836195861,"Male"
"25",0.24,16.516391986436,0.179289559167677,0.707309587613237,"Male"
"26",0.25,16.5504298470974,0.178343313069081,0.722645001032469,"Male"
"27",0.26,16.5824161155414,0.177425390147726,0.737422134441514,"Male"
"28",0.27,16.6124995521979,0.176535540293369,0.751651867997994,"Male"
"29",0.28,16.6408138061886,0.175673454780024,0.765344873891025,"Male"
"30",0.29,16.6674794081153,0.174838780566057,0.778511583876776,"Male"
"31",0.3,16.6926054424202,0.174031131688333,0.791162167999912,"Male"
"32",0.31,16.7162909595831,0.173250098367346,0.803306521623091,"Male"
