"","Height","Mu","Sigma","Lambda","Sex"
"1",45,3.26514118029646,0.206467066480919,0.284116873874893,"Male"
"2",45.01,3.26636826738084,0.20647815498703,0.284253072137021,"Male"
"3",45.02,3.26759605944284,0.206489221559764,0.284389299629792,"Male"
"4",45.03,3.26882455711397,0.206500266163085,0.284525556354804,"Male"
"5",45.04,3.27005376102632,0.20651128876093,0.28466184231365,"Male"
"6",45.05,3.27128367181255,0.206522289317216,0.284798157507915,"Male"
"7",45.06,3.27251429010564,0.206533267795834,0.284934501939199,"Male"
"8",45.07,3.27374561653913,0.206544224160654,0.285070875609101,"Male"
"9",45.08,3.27497765174714,0.206555158375521,0.285207278519206,"Male"
"10",45.09,3.27621039636405,0.206566070404256,0.285343710671127,"Male"
"11",45.1,3.27744385102494,0.206576960210658,0.285480172066456,"Male"
"12",45.11,3.27867801636529,0.206587827758503,0.285616662706792,"Male"
"13",45.12,3.27991289302097,0.206598673011541,0.28575318259375,"Male"
"14",45.13,3.28114848162851,0.206609495933502,0.285889731728923,"Male"
"15",45.14,3.28238478282475,0.206620296488089,0.286026310113928,"Male"
"16",45.15,3.2836217972472,0.206631074638986,0.286162917750363,"Male"
"17",45.16,3.28485952553368,0.206641830349851,0.286299554639844,"Male"
"18",45.17,3.28609796832258,0.20665256358432,0.286436220783983,"Male"
"19",45.18,3.28733712625275,0.206663274306003,0.286572916184392,"Male"
"20",45.19,3.28857699996353,0.20667396247849,0.286709640842688,"Male"
"21",45.2,3.28981759009483,0.206684628065348,0.286846394760475,"Male"
"22",45.21,3.29105889728688,0.206695271030118,0.286983177939382,"Male"
"23",45.22,3.29230092218047,0.206705891336321,0.28711999038103,"Male"
"24",45.23,3.29354366541697,0.206716488947452,0.287256832087029,"Male"
"25",45.24,3.29478712763814,0.206727063826984,0.287393703059003,"Male"
"26",45.25,3.29603130948615,0.206737615938369,0.287530603298588,"Male"
"27",45.26,3.29727621160381,0.206748145245032,0.287667532807399,"Male"
"28",45.27,3.2985218346344,0.20675865171038,0.287804491587058,"Male"
"29",45.28,3.29976817922152,0.206769135297791,0.287941479639206,"Male"
"30",45.29,3.30101524600943,0.206779595970625,0.28807849696547,"Male"
"31",45.3,3.3022630356429,0.206790033692218,0.288215543567468,"Male"
"32",45.31,3.30351154876697,0.206800448425881,0.288352619446853,"Male"
"33",45.32,3.30476078602739,0.206810840134903,0.288489724605247,"Male"
"34",45.33,3.30601074807031,0.206821208782552,0.288626859044289,"Male"
"35",45.34,3.30726143554232,0.206831554332071,0.288764022765621,"Male"
"36",45.35,3.30851284909062,0.206841876746681,0.288901215770875,"Male"
"37",45.36,3.3097649893628,0.20685217598958,0.289038438061695,"Male"
"38",45.37,3.3110178570069,0.206862452023943,0.289175689639731,"Male"
"39",45.38,3.31227145267164,0.206872704812922,0.289312970506612,"Male"
"40",45.39,3.31352577700602,0.206882934319649,0.289450280663993,"Male"
"41",45.4,3.3147808306596,0.206893140507228,0.289587620113525,"Male"
"42",45.41,3.31603661428248,0.206903323338746,0.289724988856848,"Male"
"43",45.42,3.31729312852522,0.206913482777264,0.289862386895616,"Male"
"44",45.43,3.31855037403883,0.20692361878582,0.289999814231481,"Male"
"45",45.44,3.31980835147481,0.206933731327431,0.290137270866102,"Male"
"46",45.45,3.32106706148527,0.206943820365091,0.290274756801122,"Male"
"47",45.46,3.32232650472264,0.206953885861772,0.290412272038207,"Male"
"48",45.47,3.32358668183994,0.206963927780422,0.290549816579013,"Male"
"49",45.48,3.32484759349069,0.206973946083966,0.290687390425197,"Male"
"50",45.49,3.32610924032889,0.206983940735311,0.290824993578417,"Male"
"51",45.5,3.32737162300892,0.206993911697335,0.290962626040347,"Male"
"52",45.51,3.32863474218579,0.207003858932898,0.291100287812648,"Male"
"53",45.52,3.32989859851497,0.207013782404836,0.291237978896981,"Male"
"54",45.53,3.3311631926524,0.207023682075964,0.291375699295016,"Male"
"55",45.54,3.33242852525456,0.207033557909073,0.291513449008417,"Male"
"56",45.55,3.33369459697825,0.207043409866932,0.291651228038871,"Male"
